NetScore	Delta_passing_attempts_MA5	Delta_passing_completions_MA5	Delta_passing_yards_MA5	Delta_passing_rating_MA5	Delta_passing_touchdowns_MA5	Delta_passing_interceptions_MA5	Delta_passing_sacks_MA5	Delta_passing_sacks_yards_lost_MA5	Delta_rushing_attempts_MA5	Delta_rushing_yards_MA5	Delta_rushing_touchdowns_MA5	Delta_receiving_targets_MA5	Delta_receiving_receptions_MA5	Delta_receiving_yards_MA5	Delta_receiving_touchdowns_MA5	Delta_kick_return_attempts_MA5	Delta_kick_return_yards_MA5	Delta_kick_return_touchdowns_MA5	Delta_punt_return_attempts_MA5	Delta_punt_return_yards_MA5	Delta_punt_return_touchdowns_MA5	Delta_defense_sacks_MA5	Delta_defense_tackles_MA5	Delta_defense_tackle_assists_MA5	Delta_defense_interceptions_MA5	Delta_defense_interception_yards_MA5	Delta_defense_interception_touchdowns_MA5	Delta_defense_safeties_MA5	Delta_point_after_attemps_MA5	Delta_point_after_makes_MA5	Delta_field_goal_attempts_MA5	Delta_field_goal_makes_MA5	Delta_punting_attempts_MA5	Delta_punting_yards_MA5	Delta_punting_blocked_MA5	Delta_Score_MA5	NA	NA
14	DAL2009-09-28CAR	2009-09-28	-0.6	0.4	6.4	4.10000000000001	0.8	0.2	-3	-16	1.8	36.8	1	-2.2	-0.6	6.4	0.8	-0.8	8.4	0	0.4	7.4	0	3	3.2	5.2	-0.2	-11.2	0	-0.2	1.4	1.4	-1.4	-1.4	-0.8	-70.2	0	8
16	DAL2009-10-25ATL	2009-10-25	-0.2	0	20.2	10.62	0.4	-0.2	-2	-9.4	2	27.8	0.6	-0.8	-0.2	20.2	0.4	-0.4	8	0	0.8	20.2	0.2	2	-0.2	6	0.2	-11.2	0	-0.2	0.8	0.8	-0.6	-0.6	-0.8	-61.6	0	6.2
21	DAL2009-11-01SEA	2009-11-01	-0.8	0.4	11	-0.279999999999997	0.2	0.2	-1.4	-7.6	2.6	29	0.6	-0.2	-0.8	11	0.2	0	9.2	0	0.4	35.8	0.4	1.4	0.4	4.2	-0.2	-11.6	0	0	1	1	0	-0.2	-1	-55.8	0	8
1	DAL2009-11-22WAS	2009-11-22	-4	-5.6	-29.2	5.06	0.2	-0.2	-0.8	-6.6	8.2	78.6	0.8	-4.2	-4	-29.2	0.2	-0.2	-4	0	0.6	43	0.4	0.8	-1	1.4	0.2	-6.8	0	0	1.2	1.2	0	0	-1	-42.2	0	10
17	DAL2009-11-26OAK	2009-11-26	-1.6	-5	33.2	29.84	0.6	-0.8	-1	-8.4	7.8	62	0.4	-3.6	-1.6	33.2	0.6	-1	-23.2	0	1.4	51.6	0.4	1	-3.8	3.2	0.8	4.4	0	0	1.4	1.4	1.2	0.8	-1.4	-92.4	0	13.8
-3	DAL2009-12-13SDG	2009-12-13	-2	-5.4	21.6	30.36	1	-0.6	-0.8	-6.4	3.8	41.2	0	-4.4	-2	21.6	1	-0.4	-11.4	0	0.4	36.8	0.4	0.8	-1.2	4.8	0.6	-1	0	0	1.4	1.4	0.6	0.2	-1.2	-62	0	10.4
24	DAL2010-01-03PHI	2010-01-03	-1.6	-4.6	16.6	21.7	1.2	0	-0.8	-7.2	7.8	71.4	0.4	-4	-1.6	16.6	1.2	0	-1	0	0.4	26.4	0.2	0.8	-4.4	4	0	-2.2	0	0	1.8	1.8	0.2	-0.2	-1.6	-80.6	0	12
20	DAL2010-01-09PHI	2010-01-09	-0.8	-4.8	2.8	-1.15999999999999	1	-0.2	-1	-5.8	10.8	93	0.6	-3.4	-0.8	2.8	1	-0.2	1.2	0	0.4	14.6	0	1	-8.4	1.4	0.2	-2.4	0	0	1.6	1.6	0.4	0.2	-1	-74.8	0	11.8
-7	DAL2010-09-19CHI	2010-09-19	3.6	1.6	41.8	-12.02	0.4	0.2	-1.2	-6.4	8.4	77.6	0.6	3.4	3.6	41.8	0.4	-0.2	3.6	0	1	28.2	0.2	1.2	-9.2	-0.6	-0.2	-9	0	0	1.2	1.2	1.2	0.6	-1.8	-104	0	10.2
-7	DAL2010-10-10TEN	2010-10-10	7.4	7	66.6	-22.2	0.4	0.8	-0.4	0.6	7.4	60	0	8.8	7.4	66.6	0.4	0.6	8.2	0	1.2	23.2	0.2	0.4	-12.2	-3.4	-0.8	-15	0	0	0.6	0.6	1	0.4	-1.8	-76	0	5.4
-6	DAL2010-10-25NYG	2010-10-25	7	8.4	55.2	-4.56	0	0.4	0	0.2	3.4	21.2	0	10.2	7	55.2	0	0.6	9.2	0	1.2	42	0.4	0	-10.2	-2.6	-0.4	0.8	0	0	0.2	0.2	1	0.6	-1.2	-55.6	0	4.8
-18	DAL2010-10-31JAX	2010-10-31	9.6	14.4	61.4	-29.58	-1	1	0.2	1.8	-3.4	-27	-0.2	15.8	9.6	61.4	-1	1.4	27.4	0	0.8	38.2	0.4	-0.2	-7.6	-1.4	-1	-5	0	0	-1	-1	1	0.6	-0.8	-39.6	0	-3.6
16	DAL2010-11-21DET	2010-11-21	6.2	10.6	45.4	-1.8	-0.8	1	0.4	1	-5.8	-43.6	-0.4	12.2	6.2	45.4	-0.8	1.6	27.2	0	0.2	45.4	0.6	-0.4	-3.2	1.2	-1	-4.8	0	0	-0.8	-0.8	0.4	0	-1.4	-50.6	0	-4.4
-3	DAL2010-11-25NOR	2010-11-25	5	6.8	18.2	9.06	-0.6	0.6	0.4	-1.4	-3.8	-30.6	-0.2	7.8	5	18.2	-0.6	2.2	40.4	0	-0.2	33.8	0.4	-0.4	-4	0	-0.6	4	0	0	-0.6	-0.6	0.2	-0.2	-0.8	-30.8	0	-3.6
-3	DAL2010-12-12PHI	2010-12-12	2.8	4.4	-34	9.27999999999999	-0.8	0	-0.4	-8.4	-3.6	-39.4	0.2	5	2.8	-34	-0.8	1.8	38.2	0	-1.4	25.6	0.4	0.4	-2.2	2.4	0	12	0	0	-0.4	-0.4	-0.2	-0.4	0.2	10.2	0	-2.8
3	DAL2010-12-19WAS	2010-12-19	3.6	2.2	-21.4	-9.3	-1	0.2	-1.4	-15.4	4.4	8.2	0.6	3.4	3.6	-21.4	-1	1.2	25.2	0	-0.6	21.2	0.2	1.4	-7.6	0	-0.2	-5.6	0	0	0.2	0.2	0.8	0.4	-0.8	-34	0	-1
2	DAL2011-09-26WAS	2011-09-26	0.2	-3.6	-44.2	7.96	-0.6	-0.6	-1.6	-16.2	7.6	40	0.6	-2.2	0.2	-44.2	-0.6	-0.4	-9.6	0	-0.6	20.8	0.2	1.6	-8	-0.4	0.6	4.2	0	0	0.6	0.6	1	0.8	-0.8	-28.4	0	3
-4	DAL2011-10-02DET	2011-10-02	5.6	1.8	2.4	2.88	-0.6	0	-1.2	-12.2	7.6	38.2	0.4	2.8	5.6	2.4	-0.6	-0.4	-3.4	0	0.2	5.4	0	1.2	-12.2	-3.4	0	-11.6	0	0	-0.2	-0.2	1.4	1.2	-1	-32.8	0	-1
27	DAL2011-10-23STL	2011-10-23	3	-0.6	4.2	12.2	0	-0.2	-0.8	-5.6	8	70.4	0.4	0.6	3	4.2	0	-2.2	-43.8	0	0.2	2.4	0	0.8	-10.6	-1.8	0.2	-12.2	0	0	0.4	0.4	1.8	1.8	-1.4	-49.2	0	5
10	DAL2011-11-06SEA	2011-11-06	1.8	-2.2	21.4	27.94	0.4	-0.8	-0.8	-4.2	8.4	82.8	0.2	-0.2	1.8	21.4	0.4	-2.4	-43.2	0	1.2	12	0	0.8	-9.6	-2	0.8	-7.6	0	0	0.6	0.6	2	2.2	-1.6	-72	0	7.6
37	DAL2011-11-13BUF	2011-11-13	2.4	-2	49.6	44.82	1.2	-1	-0.4	0	8.8	72.6	0.2	0	2.4	49.6	1.2	-2.8	-53.6	0	1.2	2	0	0.4	-9.2	-1.8	1	7.6	0	0	1.2	1.2	1.4	2	-1.6	-77.6	0	14.4
1	DAL2011-11-24MIA	2011-11-24	3	-1.4	36.2	42	1.6	-0.6	-0.6	-1	7.6	59.8	0.2	0.8	3	36.2	1.6	-1.6	-37.2	0	1.2	9.6	0	0.6	-8.8	0.4	0.6	-0.2	0	0	1.6	1.6	0.4	1	-1	-60.2	0	14.2
-3	DAL2011-12-11NYG	2011-12-11	-0.8	-5.4	2.2	49.22	1.8	-1.2	-0.2	0.2	4.2	55.6	-0.2	-3.6	-0.8	2.2	1.8	-2.2	-50.6	0	0.6	6.2	0	0.2	-4.6	4.4	1.2	21.6	0	-0.2	2	2	0.4	0.8	-0.6	-49.4	0	14.4
-13	DAL2011-12-24PHI	2011-12-24	1.6	-2	-14	43.72	1.2	-1	-0.2	0	1	6	-0.4	0	1.6	-14	1.2	-0.8	-9.4	0	1	6.2	0	0.2	-5.4	5.6	1	21	0	-0.2	1.2	1.2	-0.4	0	0.4	-13.6	0	6.4
6	DAL2012-09-23TAM	2012-09-23	4.2	0	9	35.34	0.6	-0.4	0.4	1.4	0.8	-1.6	0	1.4	4.2	9	0.6	-0.6	-6.6	0	0.6	11.2	0	-0.4	-8	6.2	0.4	14.4	0	-0.2	1	1	0	0.2	-0.6	-43	0	5.6
-16	DAL2012-10-01CHI	2012-10-01	8	6.8	8.4	26.4	0.2	1.2	0.4	3.2	-5.6	-17.6	-0.2	7.4	8	8.4	0.2	-0.2	5.2	0	0	8.8	0	-0.6	-8	7.4	-1.2	-18.8	0	-0.2	-0.4	-0.4	-0.6	-0.6	-0.2	-24	0	-5
-5	DAL2012-10-28NYG	2012-10-28	11.6	13	69.8	30.52	0.2	1.4	1.6	10.6	-7.4	-33.6	0	12.8	11.6	69.8	0.2	0	20	0	0.2	3.8	0	-1.8	-10.6	7.6	-1.4	-34.4	0	-0.2	-0.4	-0.4	-0.8	-1	-0.8	-49.8	0	-6.2
3	DAL2012-11-18CLE	2012-11-18	15.8	19.2	106.2	20.3	-0.4	1.6	2	15	-8.4	-50.6	0.6	18.8	15.8	106.2	-0.4	-0.4	19	0	0.4	3.2	0	-2.2	-13.2	6	-1.6	-40.4	0	0	-0.6	-0.6	-0.8	-0.8	-0.2	-24.6	0	-5
-7	DAL2012-11-22WAS	2012-11-22	18.2	24.6	155.8	7.73999999999999	-0.4	1.8	1.6	12.8	-12	-68.6	0.4	23.8	18.2	155.8	-0.4	-0.6	-0.8	0	0.2	4.4	0	-1.8	-11.8	6.2	-1.8	-42.4	0	0	-1	-1	0	0	-1.2	-53.2	0	-3.8
5	DAL2012-12-02PHI	2012-12-02	15.2	21	131.6	12.54	0.2	1.8	1.4	11.4	-10.2	-73.2	0	20.8	15.2	131.6	0.2	-1	-10	0	-0.2	-23	-0.2	-1.6	-11	6.4	-1.8	-42.4	0	0	-0.6	-0.6	-0.6	-0.6	-0.2	-6	0	-4
3	DAL2012-12-16PIT	2012-12-16	12	15.6	107.8	4.66	0.2	0.6	1	10.2	-6.6	-59.2	0	16	12	107.8	0.2	-1	-14.4	0	-0.2	-24	-0.2	-1	-10.2	6.8	-0.6	-15.4	0	0	0	0	-0.2	-0.2	-0.2	1.8	0	-0.2
-3	DAL2012-12-23NOR	2012-12-23	5.6	7	52.8	6.6	0.2	0	0.8	8.2	-9.8	-57.6	-0.4	7.8	5.6	52.8	0.2	-1.8	-31.8	0	-0.4	-19.6	-0.2	-0.8	-1.2	7.4	0	5.2	0	0	-0.2	-0.2	0.2	0.4	0.4	35	0	0.2
5	DAL2013-09-08NYG	2013-09-08	4.4	5.4	-5.2	4.4	0	-0.4	-0.4	0	-5.6	-39	-0.6	6.6	4.4	-5.2	0	-1	-26.2	0	-1	-17	-0.2	0.4	-2	6.2	0.4	-0.6	0	0	-0.4	-0.4	0.4	0.6	0.6	41.4	0	0.6
24	DAL2013-09-22STL	2013-09-22	-1.6	-6.6	-38.6	17.42	0.6	-0.6	-1.2	-7.6	3	15.4	-0.2	-5.2	-1.6	-38.6	0.6	-1.6	-34	0	-0.8	-17.8	-0.2	1.2	-2	5.8	0.6	1.4	0	0	0.8	0.8	0.4	0.4	0.8	44	0	6.8
-3	DAL2013-10-06DEN	2013-10-06	-3.2	-6.4	-30.6	8.72	0.4	-0.6	-0.6	0	-1.8	17.2	-0.2	-5.6	-3.2	-30.6	0.4	-1	-19.4	0	-0.6	1.2	0	0.6	3.4	6.2	0.6	1.4	0	0	0	0	0.4	0.4	0.8	38.6	0	5.2
15	DAL2013-10-13WAS	2013-10-13	-4.6	-8.6	-46.2	8.1	0.6	-0.4	-0.4	-3.4	-5.4	-20	0	-8.2	-4.6	-46.2	0.6	-0.8	2.2	0	-1	22.2	0.2	0.4	10	6.6	0.4	-6.6	0	0	0.6	0.6	-0.4	-0.2	1.2	49.6	0	7.6
4	DAL2013-11-03MIN	2013-11-03	-0.6	-3.8	-20	7.66	0.6	-0.4	-0.6	-3.2	-4	-31.4	-0.2	-3.4	-0.6	-20	0.6	-1.2	-4.6	0	-1.2	10.4	0.2	0.6	6.6	5.8	0.4	-6.8	0	0	0.8	0.6	0.2	0.2	1.4	62.6	0	9
7	DAL2013-11-28OAK	2013-11-28	-1.4	-4.8	11.4	15.58	1.2	-0.2	0	0.8	-4.8	-20	0	-4.6	-1.4	11.4	1.2	-1.6	-6.6	0	-0.6	7.6	0.2	0	6.4	8.2	0.2	-1	0	0	1.2	1	-0.2	-0.2	0.8	35	0	9.4
-1	DAL2013-12-15GNB	2013-12-15	1.6	2	29.2	5.48000000000001	0.4	0	1.2	10	-11	-54.8	-0.2	2.4	1.6	29.2	0.4	-0.8	11.8	0	-1	3.8	0.2	-1.2	7.2	8.2	0	4.2	0	0	0.4	0.2	0.2	0.4	0.6	24.8	0	4.4
-2	DAL2013-12-29PHI	2013-12-29	5.8	7	29.8	-12.36	0.2	0.4	-0.6	-4	-10.8	-60.8	-0.2	7.4	5.8	29.8	0.2	-0.8	16.6	0	-0.6	4.4	0.2	0.6	5.6	5.2	-0.4	2	0	0	0.4	0.2	0.8	1	0	-10.6	0	4.6
-11	DAL2014-09-07SFO	2014-09-07	7.4	11.6	61	-28.22	-0.2	1	0.2	4.2	-9.4	-27.2	-0.4	12	7.4	61	-0.2	-0.4	11.4	0	0.2	-16.6	0	0	0.4	4	-1	-6.8	0	0	-0.6	-0.8	1.4	1.6	-0.8	-42.8	0	-0.6
21	DAL2014-09-28NOR	2014-09-28	3.6	5.8	25.2	-22.34	-0.2	0.8	0	2.6	-1	16.6	0.4	6	3.6	25.2	-0.2	0.6	30.4	0	0	-13.6	0	0.4	-5	4.4	-0.8	-6.4	0	0	-0.2	-0.2	1	1.4	-0.8	-48	0	2.8
3	DAL2014-10-05HOU	2014-10-05	5	8.6	65.2	-21.24	0	1	-0.2	0.8	-1.6	-9.4	-0.2	8.8	5	65.2	0	1.4	44	0	0.4	-4.6	0	0.6	-4.6	2	-1	-7	0	0	-0.4	-0.4	1.4	1.6	-1.4	-70.8	0	2
10	DAL2014-10-19NYG	2014-10-19	3.6	4.8	59.6	-10.82	0.4	1	0	1.2	2	4.2	0	4.6	3.6	59.6	0.4	0.4	17.4	0	0.4	-3.8	0	0.4	-6	2.4	-1	-19.8	0	0	0	0	0.8	1	-1.2	-59.8	0	4.2
-3	DAL2014-10-27WAS	2014-10-27	0.2	1.8	36.4	34.24	0.8	0.4	1.4	16.2	4	30	-0.2	1.4	0.2	36.4	0.8	0.6	15.6	0	0.2	-6.8	0	-1	-6.4	3.8	-0.4	-17.6	0	0	0.4	0.4	0.2	0.4	-1	-39.6	0	4
-11	DAL2014-11-02ARI	2014-11-02	-2	-1.2	7.2	37.54	0.6	0	0.8	12.2	4.6	28	-0.4	-1.6	-2	7.2	0.6	0.6	19.2	0	0.2	0.8	0	-0.6	-4.6	3.4	0	0.4	0	0	0.4	0.4	0.6	0.4	-0.8	-29	0	4
-23	DAL2014-11-27PHI	2014-11-27	-0.4	1.8	19.2	20.48	0.2	0.6	1.4	14.8	-3.8	-21.8	-1	1.6	-0.4	19.2	0.2	1.6	46.6	0	0	-2.6	0	-1.4	0.4	2.4	-0.6	0	0	0	-0.6	-0.6	0.2	-0.2	-0.8	-29.4	0	-4.8
35	DAL2014-12-21IND	2014-12-21	-5	-6	-9.6	39	0.6	0.2	1	14	1.8	10.6	-0.4	-6	-5	-9.6	0.6	1	28.8	0	0	-4.2	0	-1	0.6	2.6	-0.2	11.4	0	0	0.4	0.4	0	-0.4	-0.8	-29.2	0	1.6
4	DAL2015-01-04DET	2015-01-04	-6	-6.2	-21.8	40.46	0.8	-0.2	1.2	18.6	-0.2	-3.2	-0.6	-6.4	-6	-21.8	0.8	1.8	51.6	0	-0.4	-1.6	0	-1.2	1.8	3.8	0.2	20	0	0	0.4	0.4	-0.2	-0.8	-0.6	-11.4	0	0.4
1	DAL2015-09-13NYG	2015-09-13	-2	-5.2	15.8	17.76	1	0.4	0.6	9.8	0.8	-16.6	-0.4	-4.6	-2	15	1	2.4	61.8	0	-0.6	1.4	0	-0.6	-1.8	3.6	-0.4	16	0	0	0.6	0.6	-0.4	-1	-0.8	-20.8	0	1.2
-11	DAL2015-09-27ATL	2015-09-27	-1.6	-7	18.4	23.14	1	0.4	1	11.8	-0.6	-20.8	0	-6.2	-1.6	17.6	1	2	47.6	0	-0.2	1.2	0	-1	-2.2	5.4	-0.4	5.4	0	0	1	1	-1	-1.4	-0.6	-25.4	0	1.2
-24	DAL2015-10-11NWE	2015-10-11	0	-4.6	4.4	20.04	0.8	0.2	0	7.8	3.6	10.4	0	-3.8	0	3.6	0.8	1	18.4	0	0	-1.6	0	0	-5.8	4	-0.2	0.6	0	0	0.8	0.8	-0.6	-1	-0.6	-17	0	1
-1	DAL2015-11-01SEA	2015-11-01	1	-0.8	-23.4	-1.21999999999999	-0.2	0.4	0.4	8.2	-2.6	-11.6	-0.2	0	1	-24.2	-0.2	1.2	26.2	0	-0.2	-6.8	0	-0.4	-3.6	6.6	-0.4	-8.4	0	0	-0.4	-0.4	-0.6	-0.6	0	10	0	-6.2
-6	DAL2015-11-08PHI	2015-11-08	2.8	1.8	-16.6	-6.15999999999999	0	0.8	0.4	4	-3.6	-15.8	-0.6	2.6	2.8	-17.4	0	1.2	36.6	0	0.6	-5.4	0	-0.4	-5.2	6.6	-0.8	-22.8	0	0	-0.6	-0.6	-0.6	-0.4	-0.2	-13.2	0	-8.2
-19	DAL2015-11-26CAR	2015-11-26	1.2	2.6	-46.8	-3.85999999999999	-0.4	1	0.8	5	-8	-31.6	-0.6	2.4	1.2	-46.8	-0.4	0	16.8	0	0.8	-2.6	0	-0.8	-1.2	8.8	-1	-35.8	0	0	-1.4	-1.4	-0.8	-0.4	0.4	13.4	0	-12.2
-3	DAL2015-12-19NYJ	2015-12-19	0	3.4	-57	-4.04	0	1.4	0.6	7.4	-6.8	-13.4	-1	2.6	0	-57	0	0.4	29.8	0	0.6	-4.2	0	-0.6	-0.4	8.8	-1.4	-48.2	0	0	-1.4	-1.6	-0.6	0	0.2	21.6	0	-10.6
-11	DAL2016-01-03WAS	2016-01-03	1.6	5.4	-13.2	-28.92	0.2	1.6	1.6	10.2	-11	-21.2	-0.8	4.8	1.6	-13.2	0.2	0.8	39.6	0	1	5	0	-1.6	0.4	11.8	-1.6	-48.2	0	0.2	-1	-1.2	-0.8	-0.2	0	3.2	0	-8
-1	DAL2016-09-11NYG	2016-09-11	4	9.6	13.4	-41.08	-0.2	1.6	1	8.2	-9.6	-26.8	-0.6	8.4	4	13.4	-0.2	0.8	38.2	0	1	5.6	0	-1	-1.6	10.2	-1.6	-50	0	0.2	-1	-1.4	-0.2	0.2	-0.4	-17.8	0	-8
14	DAL2016-09-25CHI	2016-09-25	1.8	4.2	-1.2	-35.42	-0.8	1.4	0.2	4.4	-3	5	0.4	4	1.8	-1.2	-0.8	0.6	23	0	0.4	1.8	0	-0.4	-1.6	5.8	-1.4	-36.6	0	0.2	-0.6	-1	0	0.2	-0.4	-8.4	0	-4
14	DAL2016-10-09CIN	2016-10-09	-2	-1.8	-12.8	-41.66	-1.2	0.8	-0.6	1	3.6	41.4	1.2	-1.2	-2	-12.8	-1.2	0.6	18.8	0	0.6	2.2	0	0.4	-2	5.8	-0.8	-19.6	0	0.2	0.4	0	0.4	0.6	-1.2	-42.4	0	2.6
6	DAL2016-10-30PHI	2016-10-30	-3	-1.4	25	-39.54	-1	0.4	-0.8	-1.6	6.6	47.4	1.4	-0.4	-3	25	-1	0	-5	0	0.2	1	0	0.6	-1.4	2.6	-0.4	-5	0	0.2	0.4	0.2	0.4	0.4	-1.2	-50.8	0	4.4
10	DAL2016-11-20BAL	2016-11-20	-5	-5.6	5.2	3.9	-0.4	0	-1.4	-3.6	13.4	60	1.2	-4.8	-5	5.2	-0.4	-0.8	-22.4	0	0.4	5.8	0	1.2	-3.2	-2.2	0	0	0	0	0.8	0.6	1	1	-1.6	-67.6	0	8.6
5	DAL2016-11-24WAS	2016-11-24	-11	-14.8	-49.6	9.72	-0.2	0.2	-0.8	-1.8	14.4	83.8	1.6	-13.8	-11	-49.6	-0.2	-0.4	-17.4	0	0.2	6	0	0.6	2.2	-2	-0.2	0	0	0	1.4	1.4	-0.4	0	-1	-35.8	0	9.8
6	DAL2016-12-18TAM	2016-12-18	-5.8	-9.6	-29.4	12.48	-0.4	-0.4	-0.8	-2.4	11.4	86.2	1.4	-9	-5.8	-29.4	-0.4	-0.4	-14.6	0	0.6	8.8	0	0.8	0	-1.2	0.4	5.2	0	0	1	1	0.2	0.4	-1.2	-49.8	0	8.2
21	DAL2016-12-26DET	2016-12-26	-5.6	-11.2	-28.6	56.32	0.6	-0.6	-0.8	-3.4	11.4	84.2	0.6	-10.8	-5.6	-28.6	0.6	0	-7.8	0	0.6	3.2	0	0.8	-0.6	-2	0.6	6.8	0	0	1.2	1.2	0.2	0.4	-0.6	-29.4	0	9.6
-3	DAL2017-01-15GNB	2017-01-15	-3.8	-11.4	-56.2	59.96	0.6	-0.8	-0.8	-8.2	10.8	76.4	0.2	-11.8	-3.8	-56.2	0.6	-0.2	-1.6	0	0.8	2.8	0	0.8	-3.6	-0.4	0.8	8.6	0	0	0.8	0.8	0.4	0.6	0	-1	0	7.8
16	DAL2017-09-10NYG	2017-09-10	-5.6	-11.4	-53	56.54	0.4	-1	-1.2	-11.6	11.8	91.8	0.4	-12	-5.6	-53	0.4	0	1.8	0	0.6	-2.2	0	1.2	-1.4	-2	1	8.6	0	0	0.8	0.8	0.8	1	-0.2	-16.4	0	9
-5	DAL2017-10-01LAR	2017-10-01	-1	-5.6	-2.8	57.92	1	-0.8	-1.2	-14.6	8.8	74.6	0	-5.4	-0.8	-1.2	1	-0.4	-7.2	0	0.2	-6.2	0	1.2	-3.6	-1.8	0.8	7.8	0	0	0.6	0.6	0.2	0	-0.2	-19.6	0	7
-4	DAL2017-10-08GNB	2017-10-08	-2.8	-4.4	-3.2	45.64	1.4	0	-1.6	-19.6	8.4	48.6	-0.4	-4.4	-2.6	-1.6	1.4	-0.4	-9	0	0.2	-6.4	0	1.6	-2.4	-0.4	0	-1.6	0	0	1	0.6	-0.6	-0.4	0	-13.6	0	5
11	DAL2017-11-05KAN	2017-11-05	-1.6	0.4	1.6	-0.0800000000000026	0.6	0	-1.2	-16.2	8.8	46.4	0.2	0	-1.4	3.2	0.6	-1.2	-27.2	0	0	-2.6	0	1.2	-5	-0.8	0	-2.6	0	0	0.8	0.4	-0.6	-0.6	0	-19.4	0	3
-28	DAL2017-11-19PHI	2017-11-19	0	2.4	7.6	-6.58000000000001	0	0.6	-0.2	-6.2	6.2	15.6	0.2	2.8	0.2	9.2	0	0	5.4	0	0.4	-4.2	0	0.2	-5.2	-2.8	-0.6	-8	0	0	1	0.6	-0.4	-0.2	-0.6	-46.6	0	-2
-22	DAL2017-11-23LAC	2017-11-23	-0.4	1	-53	-26.62	-0.8	1.2	0.6	-0.6	-0.2	-3.6	0.4	1.2	-0.2	-51.4	-0.8	0.6	22.6	0	0.4	-4	0	-0.6	-2.2	0.2	-1.2	-26	0	0	0.6	-0.4	-1.4	-1	0.8	21	0	-9.6
24	DAL2017-11-30WAS	2017-11-30	2	5.4	-32	-6.96	-0.6	1	0.6	3.2	5.8	18.6	0.6	0.2	-1.8	-60	-0.8	0.6	25.8	0	1.2	17.6	0.2	0	-1.8	-0.4	-0.8	-22.4	0	0	0	-1	-0.2	0.2	0.6	14	0	-3.8
17	DEN1960-10-02OAK	1960-10-02	1.8	4.8	-10.6	39.48	-0.2	0.8	1.2	9.8	2.8	18	0.4	-1.4	-4	-63.4	-0.4	-0.2	9.8	0	1.2	17.6	0.2	-0.6	0.6	-0.4	-0.4	-14.8	0	0	0	-0.6	0.4	0.4	1	30.2	0	0.4
-4	DEN1960-10-16LAC	1960-10-16	2.6	5.8	-25.4	40.48	-0.2	1.2	1.4	10.4	-2.4	-16.4	-0.2	-1	-3.2	-78.2	-0.4	0.6	39.8	0	1.4	18	0.2	-0.8	2.6	-1.6	-0.8	-12.6	0	0	-0.6	-1.2	0.8	0.8	0.6	22.4	0	-2.6
7	DEN1960-10-23BOS	1960-10-23	2.8	5.8	-8	60.08	0.4	0.4	0.6	4	-1	-25	0.2	-2	-3	-60.8	0.2	0	25.8	0	1.6	25.4	0.2	0	3.8	0	0	2.8	0	0	-0.2	-0.8	0.2	0.2	1.8	63.2	0.2	4.4
-3	DEN1960-10-30DTX	1960-10-30	4.6	8.6	41.4	78.66	1.2	0	0.2	1.8	-3	-21.4	-0.2	-0.4	-1.2	-11.4	1	-0.6	6	0	1.8	28.6	0.2	0.4	1.2	0.2	0.4	25.4	0	0	0	0	0.8	0.2	0.8	12.6	0.2	8.2
-20	DEN1960-11-06HOU	1960-11-06	5	8	46	76.56	0.6	0.4	0	0	-10.6	-70.8	-1	0	2.8	19	0.6	0	26	0	1.6	11.4	0	0	0	0	-0.2	20.8	0	0	-0.6	-0.4	0.8	0.4	0.2	-6	0.2	-0.6
0	DEN1960-11-27BUF	1960-11-27	5.8	10.6	50.8	15.56	0.6	1.4	0	0	-13	-98.6	-0.8	0	5.6	48.6	0.6	1	53.2	0	1.4	11.6	0	0	0	0	-1.2	8.8	0	0	-0.6	-0.4	0	-0.2	0	-4.2	0.2	-4
-3	DEN1960-12-04NYT	1960-12-04	8.8	14.6	71.6	8.34	0.6	1.4	0	0	-15	-106	-0.4	0	8.6	69.4	0.6	1.4	49	0	1.6	11.6	0	0	0	0	-1.2	4.2	0	0	-0.4	-0.2	-0.4	-0.6	0.6	30	0.2	-3.8
-7	DEN1961-10-08DTX	1961-10-08	10	15.6	95.4	30.72	0.6	2	0	0	-20.2	-103.6	-0.6	0	9.8	93.2	0.6	1.6	43	0	1.4	12.2	0	0	0	0	-1.8	-4.6	0	0	-0.8	-0.8	-0.6	-1	-1	-31.8	0	-6.6
3	DEN1961-10-15OAK	1961-10-15	12.8	20.4	127.8	29.96	0.6	2.6	0	0	-17.4	-118	-0.4	0	9.8	92.6	0.4	1.6	57	0	1.6	9.4	0	0	0	0	-2	-15.2	0	0	-0.8	-0.8	-0.6	-0.6	-0.8	-20	0	-5.4
17	DEN1961-10-22NYT	1961-10-22	9.8	15	84	22.08	1.2	2.2	0	0	-14.4	-84	0	0	7	51	1	1	47.8	0	1.8	1.8	0	0	0	0	-1.6	-16.2	0	0	0.6	0.4	-0.6	-0.6	0.2	16.6	0	2
-41	DEN1961-11-05HOU	1961-11-05	8.2	13.6	16.4	0.319999999999996	0	1.8	0	0	-14.4	-88.2	-0.2	0	5.4	-16.6	-0.2	1.6	50.8	0	1.8	1.8	0	0	0	0	-1.2	-15.8	0	0	-0.8	-1	-0.6	-0.6	1	55.2	0	-6.2
-3	DEN1961-11-12SDG	1961-11-12	7.6	12.4	30	4.18	-0.2	2	0	0	-8.2	-56	-0.2	0	4.8	-3	-0.4	1.4	54	0	1.2	-2.2	0	0	0	0	-1.4	-27.4	0	0	-0.6	-1	-0.2	-0.4	0.4	5.6	0	-6.2
